transaction_count,incoming_transaction_count,outgoing_transaction_count,unique_incoming_counterparties,unique_outgoing_counterparties,activity_duration_seconds,total_incoming_value,total_outgoing_value,average_incoming_value,average_outgoing_value,maximum_incoming_value,maximum_outgoing_value,incoming_outgoing_value_ratio,outgoing_value_concentration,incoming_value_concentration,total_unique_counterparties,counterparty_reuse_count,fan_in,fan_out,graph_multi_hop_exposure_count,total_transaction_fees,average_transaction_fee,minimum_transaction_fee,maximum_transaction_fee,fee_to_value_ratio,average_transaction_gap_seconds,minimum_transaction_gap_seconds,maximum_transaction_gap_seconds,transaction_burst_count,rapid_transaction_sequence_count,target
85.0,43.0,42.0,1.0,2.0,0.0,4.59120935,4.57354835,0.106772,0.108894,0.0,0.426243,1.0038615531417743,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,16.0,0.0,2.0,0.0,0.0,1211.9614,0.0,75.747587,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70.0,35.0,35.0,1.0,1.0,0.0,1.678830057,1.662474332,0.047967,0.047499,0.0,0.049421,1.0098381819708,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,1.0,2.0,1.0,2.0,0.0,101.0,100.9990158,101.0,50.499508,0.0,100.488533,1.0000097446494127,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,1.0,3.0,1.0,3.0,0.0,101.0,100.998446,101.0,33.666149,0.0,61.722847,1.0000153863753507,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
435.0,401.0,34.0,6.0,6.0,0.0,1110.312284,1110.293427,2.768859,32.655689,0.0,118.744842,1.0000169837986441,0.0,0.0,12.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,0.0,1.0,0.0,0.0,2.44536818,0.0,2.445368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
92.0,91.0,0.0,6.0,0.0,0.0,27.72145346,0.0,0.304631,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,2.0,1.0,2.0,1.0,0.0,0.018003663,0.0,0.009002,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,1.09335951,1.09285551,1.09336,1.092856,0.0,1.092856,1.0004611771596412,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,7.0,2.0,5.0,2.0,0.0,166.02866730000005,1.501,23.718381,0.7505,0.0,1.5,110.61203684210531,0.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,5.0,4.0,3.0,4.0,0.0,5.625,5.623236,1.125,1.405809,0.0,4.519558999999999,1.0003136983758105,0.0,0.0,7.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
140.0,139.0,0.0,4.0,0.0,0.0,151.2160301,0.0,1.087885,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,8.0,6.0,2.0,2.0,0.0,48.8374,48.83477441,6.104675,8.139128999999999,0.0,48.8154,1.0000537647615193,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
57.0,56.0,0.0,3.0,0.0,0.0,29.9741884,0.0,0.535253,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
58.0,57.0,0.0,4.0,0.0,0.0,25.83669695,0.0,0.453275,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,2.0,3.0,2.0,3.0,0.0,2001.0,2000.998585,1000.5,666.999528,0.0,1625.409941,1.0000007071469268,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.26987556,0.269403924,0.269876,0.269404,0.0,0.269404,1.0017506649234997,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,10.17205368,10.17154968,10.172054,10.17155,0.0,10.17155,1.000049549971819,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,2.0,3.0,2.0,3.0,0.0,101.0,100.9979759,50.5,33.665992,0.0,90.0,1.000020040995693,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,10.0,9.9978,10.0,9.9978,0.0,9.9978,1.0002200484106503,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.99938,1.0,0.99938,0.0,0.99938,1.0006203846384758,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,1.0,1.0,0.0,0.18,0.1793799999999999,0.18,0.1793799999999999,0.0,0.1793799999999999,1.0034563496487907,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
188.0,83.0,105.0,14.0,42.0,0.0,3050.833773,3050.7610210000007,36.757033,29.054867,0.0,285.0,1.0000238471645266,0.0,0.0,56.0,0.0,14.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,2.0,2.0,2.0,2.0,0.0,101.0,100.9989738,50.5,50.499487,0.0,100.993974,1.0000101604992744,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
